Produto/Unidade,Nível de Comercialização,U.F.,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
ABACATE (kg),ATACADO,RR,"6,83","6,67","6,83","7,00","7,00","6,00","6,00","6,60","7,00","7,00","7,00","7,00"
ABACAXI HAVAÍ (kg),PRODUTOR,PR,"1,85","2,31","2,30","2,30","2,30",,,,,,"2,60","2,60"
ABACAXI (kg),ATACADO,RR,"2,59","2,65","2,79","6,00","8,00","4,50","4,50","4,95","5,00","7,50","7,00","7,50"
ABACAXI PÉROLA (6.50 kg),PRODUTOR,DF,"21,80","20,14","23,45","26,65","34,82","36,87","25,47","27,36","28,48","31,92","25,05","25,75"
ABACAXI PÉROLA (kg),,AM,"3,81","3,75","3,75","3,90","4,00","4,25","4,02","3,94","4,27","4,25","4,51","4,23"
,,AP,"3,20","3,40","3,40","3,55","3,72","3,81","3,63","3,43","3,17",,"3,42","3,25"
,,ES,"2,30","2,56","3,04","3,35","3,36","3,27","3,13","3,11","3,10","3,03","3,00","3,06"
,,RR,"2,17","2,13","2,24","3,62","3,93","4,14","3,90","5,74","6,50","6,50","6,70","6,52"
ABACAXI PÉROLA (t),,BA,,,,,"2.000,00","1.977,27","2.050,00","2.204,35","2.295,24","2.325,00","2.300,00",
,,SP,"1.587,50","1.744,44","1.862,50",,,,,,,,,
ABACAXI PÉROLA (un),ATACADO,MT,"3,96","4,41","4,52","4,41","4,47","4,39","4,91","5,00",,,,
,PRODUTOR,AC,"3,45","3,45","3,45","3,46","3,93","4,00","4,03","4,05","4,05","4,05","4,05","4,05"
,,AL,"1,90","2,16",,,"2,40","2,81","2,66","2,89","2,74","3,15","3,27","3,59"
,,CE,"5,00","6,00",,,,,,,,,"5,00","5,00"
,,GO,"3,05","3,42","3,08","3,48","3,67","3,46","3,25","3,17","2,91","3,03","2,82","3,63"
,,MG,"1,93","2,68","2,60","3,45","3,43","2,81","2,85","3,44","3,52","3,60","3,69","3,20"
,,PA,"2,14","2,50","2,50","2,33","1,63","1,20","1,23","0,87","0,80","0,80","1,09","2,86"
,,PB,"2,36","2,36","2,53","2,53","2,53","2,53","2,53","2,53","2,37","2,50","2,50","2,57"
,,PE,"1,46","1,90","3,95","4,10","3,30","3,52","3,28","3,08","3,05","3,25","3,73","3,93"
,,RJ,"2,55","2,58","2,82","3,62","3,50","2,92","3,07","2,50","2,42","2,52","2,99","4,43"
,,RN,"1,80","1,95","2,35","2,40","2,12","1,88","1,80","1,98","1,90","1,80","1,88","2,31"
,,RO,"2,56","2,65","2,84","3,11","2,98","2,87","3,30","3,01","3,13","2,82","3,11","3,23"
,,SE,"1,60",,,,,,,"1,60","1,73","1,43","1,50","2,11"
,,SP,,,,,,,,,,,,"3,05"
,,TO,"2,75","3,85","4,00","4,00","2,93","2,69",,,,,"4,00","4,09"
ABACAXI TERRA DE AREIA (6.50 kg),,RS,"23,83","23,99","24,11","25,75",,,,,,,,"22,75"
ABÓBORA (kg),ATACADO,RR,"2,83","2,33","2,50","2,00","3,00","3,00","3,00","3,30","3,50","3,50","3,50","3,50"
ABOBRINHA (kg),,RR,"3,00","2,50","3,00","3,00","3,00","2,50","2,50","2,75","3,00","3,00","3,50","3,50"
AÇAÍ FRUTO (kg),,RR,"10,00","8,00","7,41","7,50","5,00","7,00","7,00","7,00","7,00","7,00","7,00","7,00"
AÇAÍ FRUTO (kg),PRODUTOR,AC,,"1,15","1,15","1,15","1,10","2,03","2,20","2,20","2,20","2,20","2,20",
,,AM,"3,43","2,86","2,38","2,20","2,15","2,08","2,08","2,08","2,85","3,44","3,47","3,22"
,,AP,"4,16","4,46","3,57","4,46","3,84","3,92","3,30","2,98","1,96","2,30","3,02","2,97"
,,MA,"4,00","4,25","4,25","4,25","4,25","4,25",,,"2,85","3,19","3,80","4,82"
,,PA,"2,82","3,38","5,07","6,42","5,01","4,64","4,14","2,98","2,50","2,91","2,94","3,42"
,,RO,"1,89","1,97","1,99","2,29","2,31","2,31","2,51","2,70","2,70","2,70","2,93","2,83"
ACEROLA (kg),ATACADO,RR,"6,50","6,00","6,00","5,00","5,00","6,00","5,00","5,50","5,00","6,00","6,00","6,00"
,PRODUTOR,PE,"3,00","2,81","2,91","3,03","2,90","3,63","4,88","6,10","3,85","2,94","3,17","3,14"
AÇÚCAR CRISTAL (20 kg),ATACADO,MT,"60,25","59,37","60,25","59,49","59,67","61,41","62,35","64,74","64,74","62,41","65,53","65,56"
AÇÚCAR CRISTAL (2 kg),,PR,"6,59","6,51","6,59","6,62","6,65","6,99","7,19","6,88","7,16","7,41","7,32","7,56"
,VAREJO,ES,"7,96","8,01","7,46","7,80","8,13","8,33","8,32","8,27","8,36","8,43","8,54",
,,GO,"7,81","8,07","7,98","8,12","8,43","9,09","9,27","8,46","8,30","8,11","8,48",
,,PR,"7,61","7,00","7,58","7,58","7,62","7,60","8,09","7,82","7,79","7,25",,
,,RO,"7,20","7,04","6,91","6,75","6,83","6,53","6,44","6,51","6,29","6,48","6,79","6,78"
,,TO,"7,99","7,90","7,95","8,08","8,20","7,97","7,88","7,86","7,56","7,80","8,14","9,00"
